Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
24b762ee1df13cb409371292907ed67ef29b8e5cbd5fac7ab6b2ac60f82640aa,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
8052313e8c5309d0b4556089483a27a6e7c07b0a64c08005e346fbdc9cea2e3e,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
5892969b2a935bb5d3bb9850c6607cba9f531e89e69fb88344835b01371e5de5,2019-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
cebfc344d077d0985e0cc33513b357fb52f15547b32896336d3c285bb0c230b1,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
e55466665354936946371b2c95a114e873d2eef93ce8c64511f581aed6836041,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
3fdf55051e7dc8356c366e1df89db36181545440dbc4e0f5fd913818e6bc1e3c,2019-02,Kent Police,Kent Police,,,No location,,,Action to be taken by another organisation
9b0e9385fd6d42305bdd8ae3c6eb29d0b2ef8d29c8811a1d99c53821234194b7,2019-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
a8572817b72ca754ea10290b29e7d6151280975f61856466808943b721f60855,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
a4deb08ec23222d140d35cf534942fefe66dcb63ea75d5bf17fecbaea776660b,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
12f9d5c4e19e22d392f2034558905b98097185ee27e3f223ac20da31f4b0d6f6,2019-02,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
6a64791ea5afdaa30a1e8c5a318c21a65956e1e80dc28b60dc867cb9a6a8c5ce,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
4a95e00b50c5d32c389b5f878d3783730d7c46a3cec44a0a3a70dfb00581a454,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
0f7f251d3d8eb83fdefea6a0d889d636f6ee7cd6b8a92688e43e2ee3eeb178b8,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
0328811180ffb780fccbb627cc86635b2276802c411912398c744b29b0ec7532,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
a773ea51f1362abcb73bfb1b2f536f5eae794b9edafa5bb4b723c9802e83bad3,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
a8dc2c60608a5f14a29292c21599aa5bfe0ab38e78126fdc3e3ca10d3ea8db7f,2019-02,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
b3a789620eabd81070b754776f902979f0945477d67d80e3d33a9e867a55ed4a,2019-02,Kent Police,Kent Police,,,No location,,,Formal action is not in the public interest
