Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c8d17e4d602c10095e23816172f9e7e828ed61a7a4039e27163fc89fbc83aa83,2019-03,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
cf4405935a63b2c5e9a7844fd6ad9995adfb16fed0443427580d89375ba9332a,2019-03,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
71fba2f00fbe59a208d1402decd6b8af712cf4023e4cac48bf4211434f7c4fd5,2019-03,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
03af18744d3372d5a12139d4272dcb962ed1ed4a98fa622c0c8e4c8c485fb2ff,2019-03,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
3e6b0d2aca33c4f49e09fb768e8b68c17357cee6225ebee26b7f452c90552aef,2019-03,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
fe1656bf70da39033b7f5b572c274d3b10cbb4747c0a2e88610e28c2b23532ff,2019-03,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
79022a3b1bec2a12a8b5762c37a58098341b16208cc3eb24ead8720ac4b7c783,2019-03,Kent Police,Kent Police,,,No location,,,Action to be taken by another organisation
9b7c41b5a01d408dfac27eff3c466f6a2f18db4381c4bc41d1410d4ab8aeca47,2019-03,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
4d5ae52ea62302f2e420e8ab92263570a877d506859acf7ee19cfa2d3c000ef1,2019-03,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
8c0684fb66e33777dfdba059d92117bda01801ae946223c71a771defb3f394d2,2019-03,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
4120352264f91c864473f42de51325814f7102b0eca6f7f1be969a8000c3c7f1,2019-03,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
be82000f8d5c8157e96b305691a243b85655017bab340c601aa80d3dbb578509,2019-03,Kent Police,Kent Police,,,No location,,,Investigation complete; no suspect identified
a697073c182dd90e2427d737e4035de8010ff3eb947b7d71c1b8e50afc7d206b,2019-03,Kent Police,Kent Police,,,No location,,,Formal action is not in the public interest
5c0c5ffbd6053f1048a10833723957afc732ac7f70c6d8f05fa32aabdc270680,2019-03,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
ef636599d3827c1aba4042b3cc718b0f6ad2bdbdb24aca10b80f81e3e5a39f62,2019-03,Kent Police,Kent Police,,,No location,,,Unable to prosecute suspect
